OfferType,UserNo,PurchaseNo,Cost
Offer A,0,0,12.99
Offer A,0,1,12.99
Offer A,0,2,12.99
Offer A,1,0,12.99
Offer A,1,1,44.990000000000002
Offer A,1,2,12.99
Offer A,1,3,12.99
Offer A,5,0,12.99
Offer A,5,1,12.99
Offer A,13,0,12.99
Offer A,13,1,12.99
Offer A,13,2,12.99
Offer A,15,0,12.99
Offer A,15,1,12.99
Offer A,17,0,12.99
Offer A,17,1,18.989999999999998
Offer A,17,2,12.99
Offer A,21,0,12.99
Offer A,21,1,12.99
Offer A,21,2,12.99
Offer A,24,0,12.99
Offer A,24,1,12.99
Offer A,47,0,12.99
Offer A,47,1,12.99
Offer A,56,0,12.99
Offer A,56,1,12.99
Offer A,56,2,12.99
Offer A,61,0,22.989999999999998
Offer A,61,1,12.99
Offer A,61,2,12.99
Offer A,61,3,12.99
Offer A,63,0,12.99
Offer A,63,1,18.989999999999998
Offer A,79,0,12.99
Offer A,79,1,44.990000000000002
Offer A,88,0,12.99
Offer A,88,1,12.99
Offer A,88,2,18.989999999999998
Offer A,90,0,12.99
Offer A,90,1,12.99
Offer A,90,2,12.99
Offer A,92,0,12.99
Offer A,92,1,18.989999999999998
Offer A,92,2,12.99
Offer A,94,0,12.99
Offer A,94,1,12.99
Offer A,94,2,12.99
Offer A,111,0,12.99
Offer A,111,1,12.99
Offer A,111,2,12.99
Offer A,111,3,12.99
Offer A,113,0,12.99
Offer A,113,1,18.989999999999998
Offer A,113,2,12.99
Offer B,1,0,12.99
Offer B,1,1,12.99
Offer B,1,2,12.99
Offer B,1,3,12.99
Offer B,11,0,12.99
Offer B,11,1,12.99
Offer B,27,0,12.99
Offer B,27,1,12.99
Offer B,27,2,22.989999999999998
Offer B,34,0,12.99
Offer B,34,1,12.99
Offer B,34,2,12.99
Offer B,34,3,12.99
Offer B,60,0,74.989999999999995
Offer B,60,1,12.99
Offer B,60,2,12.99
Offer B,60,3,12.99
Offer B,72,0,12.99
Offer B,72,1,12.99
Offer B,72,2,12.99
Offer B,85,0,12.99
Offer B,85,1,12.99
Offer B,102,0,12.99
Offer B,102,1,12.99
Offer B,106,0,18.989999999999998
Offer B,106,1,12.99
Offer B,106,2,18.989999999999998
